text,label,source
boitekanelo e boferefere thata,0,lexicon_generated
Ke kgatelelo dikgethololo,0,lexicon_generated
Re monate ka tonakgolo,2,lexicon_generated
puso o dira kutlwelobotlhoko,0,lexicon_generated
Batho ba botoka kgethololo,2,lexicon_generated
boitekanelo e teng,1,lexicon_generated
Re lapile ka thuto,0,lexicon_generated
Batho ba tlhokafalo tonakgolo,0,lexicon_generated
Batho ba monate lekgotla,2,lexicon_generated
Batho ba boammaaruri boeteledipele,2,lexicon_generated
Re itse kgethololo,1,lexicon_generated
Re bogale ka dikgethololo,0,lexicon_generated
Ke bona tokololo,1,lexicon_generated
tshiamelo o dira itumelela,2,lexicon_generated
tokololo o kae,1,lexicon_generated
tokololo e bogale thata,0,lexicon_generated
ditshwanelo e lapile thata,0,lexicon_generated
Re bosula ka setšhaba,0,lexicon_generated
ditshwanelo e teng,1,lexicon_generated
ikonomi e tlhong thata,0,lexicon_generated
Ke thabo boeteledipele,2,lexicon_generated
Re tlhong ka ikonomi,0,lexicon_generated
boitekanelo e teng,1,lexicon_generated
lekgotla e tlhokafalo thata,0,lexicon_generated
tshiamelo e hutsafala thata,0,lexicon_generated
polotiki e boammaaruri thata,2,lexicon_generated
Batho ba sentle boeteledipele,2,lexicon_generated
Ke botlhoko thulaganyo,0,lexicon_generated
kgethololo e botoka thata,2,lexicon_generated
Ke boitumelo dikgethololo,2,lexicon_generated
Re hutsafala ka puso,0,lexicon_generated
Batho ba boitumelo ditshwanelo,2,lexicon_generated
batho o kae,1,lexicon_generated
Ke mathata tonakgolo,0,lexicon_generated
thuto o dira kgatelelo,0,lexicon_generated
mmuso e teng,1,lexicon_generated
thulaganyo o dira boferefere,0,lexicon_generated
mmuso e siame thata,2,lexicon_generated
Batho ba bua ka batho,1,lexicon_generated
Re itse tokololo,1,lexicon_generated
Re maswe ka tonakgolo,0,lexicon_generated
dikgethololo e botoka thata,2,lexicon_generated
Batho ba mathata polotiki,0,lexicon_generated
Ke bona ikonomi,1,lexicon_generated
Batho ba molemo lekgotla,2,lexicon_generated
Batho ba maswe thuto,0,lexicon_generated
puso o dira tlhokafalo,0,lexicon_generated
batho o kae,1,lexicon_generated
Batho ba bua ka ikonomi,1,lexicon_generated
ditshwanelo o dira kgalefo,0,lexicon_generated
Ke sentle tshiamelo,2,lexicon_generated
Re kutlwelobotlhoko ka puso,0,lexicon_generated
Ke molemo puso,2,lexicon_generated
Re kgotla ka tonakgolo,2,lexicon_generated
Re tshiamo ka modulasetilo,2,lexicon_generated
dikgethololo o dira lapile,0,lexicon_generated
Batho ba pabalesego puso,2,lexicon_generated
palamente o dira lapile,0,lexicon_generated
puso o kae,1,lexicon_generated
modulasetilo e dikgwetlho thata,0,lexicon_generated
Ke kagiso thuto,2,lexicon_generated
boeteledipele o dira dikgwetlho,0,lexicon_generated
boitekanelo o dira kgatelelo,0,lexicon_generated
boitekanelo e teng,1,lexicon_generated
Re kgalefo ka tshiamelo,0,lexicon_generated
Batho ba bua ka palamente,1,lexicon_generated
Re lapile ka thulaganyo,0,lexicon_generated
Batho ba boitumelo tshiamelo,2,lexicon_generated
mmuso o kae,1,lexicon_generated
dikgethololo o dira boferefere,0,lexicon_generated
thuto o dira tlhokafalo,0,lexicon_generated
Ke tlhaelo thulaganyo,0,lexicon_generated
Batho ba kgalefo tonakgolo,0,lexicon_generated
Ke bona thulaganyo,1,lexicon_generated
Re kutlwelobotlhoko ka batho,0,lexicon_generated
Batho ba hutsafala boitekanelo,0,lexicon_generated
Re itse tshiamelo,1,lexicon_generated
Ke bona thulaganyo,1,lexicon_generated
thulaganyo o kae,1,lexicon_generated
Re sentle ka tshiamelo,2,lexicon_generated
ditshwanelo e dikgwetlho thata,0,lexicon_generated
thuto o dira mathata,0,lexicon_generated
Batho ba tlhaelo ditshwanelo,0,lexicon_generated
Batho ba bua ka boitekanelo,1,lexicon_generated
tokololo e boitumelo thata,2,lexicon_generated
Ke lapile ikonomi,0,lexicon_generated
Ke bona ikonomi,1,lexicon_generated
Batho ba kgalefo batho,0,lexicon_generated
Re molemo ka tokololo,2,lexicon_generated
boeteledipele e botlhoko thata,0,lexicon_generated
dikgethololo e teng,1,lexicon_generated
Ke molemo kgethololo,2,lexicon_generated
Re siame ka thulaganyo,2,lexicon_generated
Batho ba bogale thuto,0,lexicon_generated
tokololo o dira tshiamo,2,lexicon_generated
Ke bona modulasetilo,1,lexicon_generated
Re boikepo ka lekgotla,0,lexicon_generated
Ke bosula boitekanelo,0,lexicon_generated
Batho ba molemo tonakgolo,2,lexicon_generated
Ke kgatelelo palamente,0,lexicon_generated
lekgotla e maswe thata,0,lexicon_generated
setšhaba o kae,1,lexicon_generated
Re tlhokafalo ka batho,0,lexicon_generated
Ke bona thuto,1,lexicon_generated
Ke kgotso tshiamelo,2,lexicon_generated
Ke boferefere tokololo,0,lexicon_generated
Ke bona polotiki,1,lexicon_generated
palamente o kae,1,lexicon_generated
Ke bona dikgethololo,1,lexicon_generated
Re boammaaruri ka boitekanelo,2,lexicon_generated
ditshwanelo e teng,1,lexicon_generated
Ke dikgwetlho batho,0,lexicon_generated
Ke bona ditshwanelo,1,lexicon_generated
Batho ba monate tshiamelo,2,lexicon_generated
thulaganyo o dira boitumelo,2,lexicon_generated
Batho ba boferefere molao,0,lexicon_generated
Batho ba siame dikgethololo,2,lexicon_generated
setšhaba e dikgwetlho thata,0,lexicon_generated
Batho ba tshiamo setšhaba,2,lexicon_generated
Ke boammaaruri tshiamelo,2,lexicon_generated
Ke kagiso ikonomi,2,lexicon_generated
tokololo o kae,1,lexicon_generated
Ke bona thulaganyo,1,lexicon_generated
Re itse puso,1,lexicon_generated
mmuso o kae,1,lexicon_generated
Batho ba bua ka puso,1,lexicon_generated
lekgotla e teng,1,lexicon_generated
modulasetilo o dira monate,2,lexicon_generated
tshiamelo e teng,1,lexicon_generated
mmuso e boammaaruri thata,2,lexicon_generated
Ke bona lekgotla,1,lexicon_generated
Ke bona ikonomi,1,lexicon_generated
mmuso e teng,1,lexicon_generated
Ke boferefere ikonomi,0,lexicon_generated
Ke bona tshiamelo,1,lexicon_generated
Ke kagiso thulaganyo,2,lexicon_generated
palamente e teng,1,lexicon_generated
Ke lapile ditshwanelo,0,lexicon_generated
kgethololo o dira mathata,0,lexicon_generated
Ke bogale mmuso,0,lexicon_generated
kgethololo e teng,1,lexicon_generated
Batho ba kgalefo puso,0,lexicon_generated
Batho ba bua ka boeteledipele,1,lexicon_generated
Ke kgotso tshiamelo,2,lexicon_generated
Re itse tshiamelo,1,lexicon_generated
ikonomi e teng,1,lexicon_generated
Batho ba dikgwetlho tshiamelo,0,lexicon_generated
ikonomi o dira tshiamo,2,lexicon_generated
Re hutsafala ka tokololo,0,lexicon_generated
thulaganyo o dira botoka,2,lexicon_generated
Batho ba kagiso thulaganyo,2,lexicon_generated
dikgethololo o kae,1,lexicon_generated
Re boikepo ka setšhaba,0,lexicon_generated
palamente e boitumelo thata,2,lexicon_generated
lekgotla o dira botlhoko,0,lexicon_generated
Re sentle ka lekgotla,2,lexicon_generated
Ke mathata modulasetilo,0,lexicon_generated
