text,label
palamente e teng,1
lekgotla o dira kgalefo,0
ditshwanelo e teng,1
Batho ba siame kgethololo,2
ditshwanelo e thabo thata,2
Re thabo ka molao,2
thulaganyo e itumelela thata,2
Ke bona tokololo,1
Ke mathata modulasetilo,0
Batho ba boammaaruri kgethololo,2
molao e sentle thata,2
mmuso e itumelela thata,2
Re kgotla ka thulaganyo,2
Ke boitumelo lekgotla,2
Re itumelela ka tokololo,2
Re tlhokafalo ka palamente,0
Batho ba bua ka batho,1
Ke bona batho,1
Batho ba bua ka kgethololo,1
Batho ba kgotla boitekanelo,2
Batho ba boammaaruri tonakgolo,2
Re itse tokololo,1
tonakgolo e boferefere thata,0
tokololo o dira tlhong,0
Batho ba hutsafala puso,0
Ke tshiamo modulasetilo,2
Ke bona palamente,1
palamente e bosula thata,0
ditshwanelo e kgatelelo thata,0
Batho ba itumelela tonakgolo,2
modulasetilo o dira boikepo,0
batho e botlhoko thata,0
Re kgalefo ka thuto,0
Batho ba bua ka boitekanelo,1
Re itse mmuso,1
modulasetilo e maswe thata,0
ikonomi e teng,1
Re boitumelo ka ditshwanelo,2
Re boammaaruri ka mmuso,2
Ke bona dikgethololo,1
Batho ba bua ka puso,1
palamente o dira pabalesego,2
Re kutlwelobotlhoko ka ikonomi,2
boitekanelo o kae,1
tshiamelo e teng,1
boitekanelo e teng,1
Batho ba pabalesego boeteledipele,2
molao o kae,1
Batho ba bogale dikgethololo,0
boitekanelo e teng,1
Ke bona boeteledipele,1
boeteledipele e thabo thata,2
Ke kgotso kgethololo,2
Ke bona palamente,1
Batho ba bua ka boitekanelo,1
puso e tshiamo thata,2
palamente o kae,1
boeteledipele o dira pabalesego,2
tshiamelo o dira boitumelo,2
mmuso o dira molemo,2
Ke kagiso boeteledipele,2
Ke bona batho,1
lekgotla e teng,1
Re itse setšhaba,1
Batho ba bua ka thulaganyo,1
Ke bogale tonakgolo,0
batho o dira tlhaelo,0
Ke boikepo palamente,0
Batho ba sentle kgethololo,2
Re pabalesego ka dikgethololo,2
kgethololo o dira kutlwelobotlhoko,2
Ke kgalefo tokololo,0
Ke dikgwetlho thuto,0
Re maswe ka ikonomi,0
Ke rata tshiamelo,2
tshiamelo o dira boikepo,0
ikonomi o kae,1
Ke maswe lekgotla,0
Batho ba bua ka thuto,1
ikonomi o kae,1
Batho ba tlhokafalo mmuso,0
dikgethololo o dira siame,2
molao o dira boikepo,0
Re itse mmuso,1
Re boammaaruri ka dikgethololo,2
Re botoka ka setšhaba,2
Ke botoka boeteledipele,2
Re kagiso ka lekgotla,2
kgethololo e kgotso thata,2
Ke bona ikonomi,1
thuto e dikgwetlho thata,0
modulasetilo e kgalefo thata,0
ikonomi o dira rata,2
Re siame ka tonakgolo,2
Ke bona puso,1
Re itse polotiki,1
Re kagiso ka lekgotla,2
Ke tlhokafalo molao,0
Ke molemo tonakgolo,2
thuto o kae,1
molao o dira bogale,0
ikonomi o dira tlhokafalo,0
Batho ba bua ka modulasetilo,1
Ke botlhoko kgethololo,0
tonakgolo o kae,1
tshiamelo o dira kgatelelo,0
Batho ba bua ka mmuso,1
Ke bona mmuso,1
Ke mathata tokololo,0
setšhaba o dira tlhaelo,0
Batho ba bua ka boitekanelo,1
Re thabo ka boitekanelo,2
Ke kutlwelobotlhoko tshiamelo,2
Batho ba bua ka batho,1
puso e botoka thata,2
Batho ba kgatelelo kgethololo,0
dikgethololo o dira kutlwelobotlhoko,0
Re botlhoko ka tshiamelo,0
Batho ba kgotso tonakgolo,2
polotiki o kae,1
Batho ba bua ka setšhaba,1
kgethololo e teng,1
Batho ba lapile tokololo,0
kgethololo o kae,1
Batho ba siame setšhaba,2
boeteledipele e teng,1
Ke tlhokafalo ditshwanelo,0
puso e rata thata,2
Batho ba bua ka mmuso,1
Batho ba boikepo tshiamelo,0
tokololo o dira botlhoko,0
modulasetilo e hutsafala thata,0
boeteledipele e maswe thata,0
Ke bona dikgethololo,1
lekgotla e botlhoko thata,0
boeteledipele o kae,1
tonakgolo e teng,1
Batho ba hutsafala modulasetilo,0
Batho ba bua ka modulasetilo,1
Batho ba monate lekgotla,2
Re tlhaelo ka tokololo,0
mmuso o kae,1
tokololo o kae,1
tokololo o dira kgotso,2
setšhaba o dira bogale,0
Batho ba bua ka tshiamelo,1
boitekanelo o dira kgalefo,0
boeteledipele o kae,1
thuto o dira tshiamo,2
Re itse kgethololo,1
Re rata ka puso,2
batho o dira boitumelo,2
Batho ba bua ka setšhaba,1
tshiamelo e teng,1
mmuso o dira tlhaelo,0
Ke kgatelelo lekgotla,0
Re maswe ka tokololo,0
Ke mathata mmuso,0
modulasetilo e botoka thata,2
molao e monate thata,2
dikgethololo o dira tlhokafalo,0
Re lapile ka puso,0
Batho ba bua ka palamente,1
puso e sentle thata,2
Batho ba boikepo puso,0
Ke botoka molao,2
Re itse boitekanelo,1
Ke bona boeteledipele,1
puso o kae,1
Re botlhoko ka mmuso,0
thulaganyo e kgalefo thata,0
Batho ba bua ka boitekanelo,1
Ke tlhaelo dikgethololo,0
Ke rata batho,2
polotiki e sentle thata,2
Batho ba rata mmuso,2
ditshwanelo e tlhong thata,0
setšhaba e teng,1
Batho ba sentle kgethololo,2
boeteledipele e teng,1
Re kgalefo ka kgethololo,0
Batho ba boitumelo thulaganyo,2
tshiamelo o dira tlhaelo,0
tokololo e boitumelo thata,2
dikgethololo o dira maswe,0
Batho ba bua ka setšhaba,1
Batho ba bua ka molao,1
Re bosula ka boitekanelo,0
Re kagiso ka modulasetilo,2
Re boikepo ka boitekanelo,0
Re tlhong ka mmuso,0
Batho ba pabalesego mmuso,2
mmuso o dira botlhoko,0
Ke bona kgethololo,1
boitekanelo o kae,1
Re itse tonakgolo,1
thulaganyo o kae,1
Batho ba bua ka kgethololo,1
Batho ba boikepo thulaganyo,0
dikgethololo o kae,1
polotiki o kae,1
dikgethololo o dira kgatelelo,0
Re itumelela ka ikonomi,2
molao o dira rata,2
Re itse kgethololo,1
Re rata ka setšhaba,2
Batho ba kutlwelobotlhoko tshiamelo,2
Ke rata thulaganyo,2
Batho ba kgotla molao,2
ikonomi e tshiamo thata,2
Ke tlhaelo setšhaba,0
Ke botlhoko thulaganyo,0
ditshwanelo o dira molemo,2
Ke bona tokololo,1
Re molemo ka ikonomi,2
puso o dira maswe,0
thuto o dira molemo,2
Re boitumelo ka polotiki,2
lekgotla e botlhoko thata,0
Ke bona tonakgolo,1
thulaganyo o dira tshiamo,2
lekgotla o dira kgatelelo,0
Re boammaaruri ka boeteledipele,2
Ke bona boeteledipele,1
Batho ba bua ka tshiamelo,1
Batho ba tshiamo modulasetilo,2
dikgethololo e teng,1
batho o dira botoka,2
Ke bona molao,1
Re tshiamo ka thulaganyo,2
Batho ba bua ka ditshwanelo,1
Re itse molao,1
Re pabalesego ka thuto,2
Ke bona tonakgolo,1
Ke kgatelelo palamente,0
Ke bona lekgotla,1
Batho ba kgotso batho,2
batho e bosula thata,0
dikgethololo e itumelela thata,2
Ke itumelela ikonomi,2
tshiamelo e teng,1
tokololo o kae,1
molao e teng,1
Re monate ka boeteledipele,2
ikonomi e thabo thata,2
batho e bosula thata,0
boitekanelo o dira kutlwelobotlhoko,2
Re itse boitekanelo,1
Batho ba tshiamo batho,2
Batho ba bua ka batho,1
Ke kgalefo tokololo,0
Re itse boeteledipele,1
Batho ba boitumelo thulaganyo,2
Re tlhong ka kgethololo,0
Re boikepo ka dikgethololo,0
Ke kutlwelobotlhoko lekgotla,2
Batho ba bua ka boeteledipele,1
setšhaba o dira kgotso,2
polotiki o dira dikgwetlho,0
Re tlhaelo ka lekgotla,0
Batho ba kagiso setšhaba,2
Batho ba bogale modulasetilo,0
Re itse modulasetilo,1
kgethololo e lapile thata,0
Batho ba molemo palamente,2
ikonomi o dira kgotla,2
boitekanelo o kae,1
Re pabalesego ka polotiki,2
boitekanelo e siame thata,2
boitekanelo e teng,1
Batho ba boammaaruri tokololo,2
Ke dikgwetlho boeteledipele,0
Ke bona palamente,1
Ke bona thuto,1
Batho ba mathata tshiamelo,0
Ke itumelela molao,2
boeteledipele e kutlwelobotlhoko thata,0
Ke molemo kgethololo,2
Batho ba pabalesego molao,2
Re itse puso,1
kgethololo o dira botlhoko,0
Re boikepo ka dikgethololo,0
polotiki o dira kutlwelobotlhoko,0
Re kgotso ka tshiamelo,2
Re itse kgethololo,1
Batho ba tlhong dikgethololo,0
batho e teng,1
Re kgatelelo ka setšhaba,0
ikonomi e botoka thata,2
Re kgalefo ka batho,0
Ke bona tonakgolo,1
ikonomi e teng,1
Ke boammaaruri tokololo,2
Re kutlwelobotlhoko ka thulaganyo,0
boeteledipele e kgotso thata,2
palamente e botlhoko thata,0
puso e thabo thata,2
Ke rata mmuso,2
Batho ba bosula kgethololo,0
palamente o kae,1
Ke bogale batho,0
batho o kae,1
Ke maswe tonakgolo,0
Batho ba bua ka ikonomi,1
Re maswe ka dikgethololo,0
kgethololo o dira tlhaelo,0
Re itse kgethololo,1
polotiki e maswe thata,0
Re boikepo ka modulasetilo,0
Batho ba tlhokafalo thulaganyo,0
thuto o kae,1
Ke dikgwetlho setšhaba,0
Re tlhaelo ka ikonomi,0
ditshwanelo e kgotla thata,2
ditshwanelo e mathata thata,0
batho e mathata thata,0
Ke bona ditshwanelo,1
thulaganyo e tshiamo thata,2
tokololo o dira pabalesego,2
Ke thabo boeteledipele,2
Re kutlwelobotlhoko ka setšhaba,2
Re itse tonakgolo,1
ikonomi o dira tlhaelo,0
thuto e kutlwelobotlhoko thata,0
Batho ba bua ka thulaganyo,1
Batho ba mathata molao,0
Re itse modulasetilo,1
thulaganyo e bosula thata,0
Re itse setšhaba,1
dikgethololo o dira boitumelo,2
Batho ba rata mmuso,2
Re itse palamente,1
dikgethololo o dira kagiso,2
Re itse ikonomi,1
Re tlhaelo ka thulaganyo,0
Re kutlwelobotlhoko ka tshiamelo,2
Ke boikepo lekgotla,0
tshiamelo o dira dikgwetlho,0
Ke bona polotiki,1
ditshwanelo o dira kgatelelo,0
molao o kae,1
kgethololo e kagiso thata,2
lekgotla o dira itumelela,2
polotiki o dira tlhong,0
Ke kgatelelo puso,0
Batho ba thabo kgethololo,2
setšhaba e bosula thata,0
Ke bona thulaganyo,1
Ke botoka tokololo,2
puso e teng,1
Batho ba bua ka boeteledipele,1
Ke kgalefo modulasetilo,0
Ke bona ikonomi,1
Ke kutlwelobotlhoko dikgethololo,0
mmuso o dira boikepo,0
boeteledipele o kae,1
Re rata ka lekgotla,2
Re itse dikgethololo,1
Re itse setšhaba,1
Batho ba bua ka tshiamelo,1
Ke bona batho,1
Ke tlhokafalo batho,0
Ke bona dikgethololo,1
Ke bona kgethololo,1
kgethololo o kae,1
polotiki e tshiamo thata,2
Ke bona ditshwanelo,1
Ke lapile tshiamelo,0
Re itse ikonomi,1
kgethololo e teng,1
Ke sentle ikonomi,2
boeteledipele o dira thabo,2
Ke boferefere tshiamelo,0
boitekanelo o dira monate,2
Re tlhaelo ka modulasetilo,0
Batho ba bua ka ikonomi,1
Re kgotso ka molao,2
Ke sentle tonakgolo,2
Re pabalesego ka palamente,2
Batho ba bua ka setšhaba,1
Re mathata ka modulasetilo,0
Re kgotso ka setšhaba,2
thulaganyo e boferefere thata,0
puso e teng,1
Re kgotla ka thuto,2
puso e teng,1
Ke thabo ikonomi,2
modulasetilo o dira bosula,0
Batho ba boikepo tonakgolo,0
tonakgolo o dira maswe,0
Ke bona tshiamelo,1
mmuso o dira lapile,0
Ke bona modulasetilo,1
modulasetilo e itumelela thata,2
tshiamelo o dira tshiamo,2
puso o dira siame,2
Ke bona mmuso,1
Ke itumelela tshiamelo,2
boeteledipele e rata thata,2
Batho ba kutlwelobotlhoko palamente,0
Ke mathata boeteledipele,0
Batho ba bua ka kgethololo,1
Re itse molao,1
kgethololo e itumelela thata,2
Ke mathata tokololo,0
Batho ba boitumelo boeteledipele,2
polotiki o dira bosula,0
Re itumelela ka boitekanelo,2
thulaganyo o dira boammaaruri,2
Ke kgotso kgethololo,2
Batho ba bua ka boitekanelo,1
Batho ba bua ka setšhaba,1
Re itse puso,1
Re pabalesego ka setšhaba,2
palamente o dira sentle,2
batho o dira rata,2
Ke bona boitekanelo,1
kgethololo e botoka thata,2
batho e teng,1
Batho ba siame puso,2
Ke kutlwelobotlhoko molao,2
tonakgolo e bogale thata,0
Ke tlhong mmuso,0
Batho ba bua ka palamente,1
Ke bona palamente,1
Re boitumelo ka ikonomi,2
puso e teng,1
tonakgolo o kae,1
tshiamelo e teng,1
Ke pabalesego tonakgolo,2
palamente e pabalesego thata,2
Batho ba bua ka puso,1
ikonomi o kae,1
modulasetilo e maswe thata,0
Re thabo ka boitekanelo,2
Ke bona thuto,1
thulaganyo o dira kutlwelobotlhoko,2
Ke botlhoko palamente,0
Batho ba bua ka kgethololo,1
Re itse palamente,1
Batho ba kgalefo puso,0
Batho ba lapile ikonomi,0
ikonomi e monate thata,2
Re kagiso ka kgethololo,2
Re itse modulasetilo,1
Re siame ka kgethololo,2
ikonomi o kae,1
tshiamelo o dira mathata,0
ikonomi e botlhoko thata,0
Batho ba tlhong modulasetilo,0
tshiamelo e teng,1
molao e teng,1
Batho ba bua ka setšhaba,1
polotiki e tlhokafalo thata,0
tshiamelo e monate thata,2
Re itse thuto,1
Re tlhokafalo ka dikgethololo,0
Ke pabalesego thulaganyo,2
Re kgotso ka batho,2
batho e tlhaelo thata,0
molao e tlhokafalo thata,0
ikonomi o kae,1
Ke bona ikonomi,1
tonakgolo o dira tshiamo,2
modulasetilo e dikgwetlho thata,0
Batho ba tlhong tokololo,0
Re itse setšhaba,1
molao o kae,1
Batho ba bua ka tshiamelo,1
ikonomi e hutsafala thata,0
thulaganyo o dira rata,2
Re itse polotiki,1
Batho ba itumelela tshiamelo,2
mmuso e teng,1
boitekanelo o dira kutlwelobotlhoko,0
Re sentle ka molao,2
palamente e boammaaruri thata,2
ikonomi e teng,1
Re boikepo ka boeteledipele,0
mmuso e itumelela thata,2
Batho ba siame modulasetilo,2
Ke bogale batho,0
Re tlhokafalo ka tokololo,0
Re kutlwelobotlhoko ka ikonomi,0
Re kutlwelobotlhoko ka kgethololo,2
lekgotla e teng,1
lekgotla o kae,1
mmuso o dira botoka,2
ditshwanelo o kae,1
puso o kae,1
mmuso o dira monate,2
Ke sentle modulasetilo,2
Re siame ka lekgotla,2
mmuso e lapile thata,0
tshiamelo e teng,1
lekgotla e teng,1
dikgethololo o dira rata,2
tshiamelo e teng,1
ditshwanelo o dira mathata,0
kgethololo e teng,1
boitekanelo e boferefere thata,0
Ke kgatelelo dikgethololo,0
Re monate ka tonakgolo,2
puso o dira kutlwelobotlhoko,0
Batho ba botoka kgethololo,2
boitekanelo e teng,1
Re lapile ka thuto,0
Batho ba tlhokafalo tonakgolo,0
Batho ba monate lekgotla,2
